dataset,clusters,min,mean
1684,4,0.4214876033057851,0.5727962775250165
1684,5,0.3567251461988304,0.6038511899321727
1684,6,0.3493975903614458,0.6252380325521095
1684,7,0.2753623188405797,0.5853809967384267
1684,8,0.2794117647058824,0.5759494708851793
1684,4,0.3804878048780488,0.6056497713414634
1684,5,0.3352941176470588,0.6117565266796752
1684,6,0.3137254901960784,0.5718125680918027
1684,7,0.3137254901960784,0.5947126128287634
1684,8,0.17647058823529413,0.5582745045409853
1684,4,0.3811881188118812,0.605510207997544
1684,5,0.3333333333333333,0.6205992682860177
1684,6,0.3392857142857143,0.6248387691729069
1684,7,0.32748538011695905,0.5933173818505071
1684,8,0.3207547169811321,0.5892969871570899
1684,4,0.3620689655172414,0.5749980791689717
1684,5,0.35294117647058826,0.6071279905934939
1684,6,0.3647058823529412,0.6254059425188515
1684,7,0.17647058823529413,0.5287318285738282
1684,8,0.1568627450980392,0.5532973556017635
1684,4,0.3674698795180723,0.5743774622942943
1684,5,0.372093023255814,0.6100653426030475
1684,6,0.35542168674698793,0.6356406832165118
1684,7,0.34,0.6013773743261278
1684,8,0.3235294117647059,0.5818102386454199
1684,4,0.4031007751937984,0.6033141447732436
1684,5,0.3488372093023256,0.6099349989646077
1684,6,0.2857142857142857,0.5690452250986843
1684,7,0.29310344827586204,0.5952601772024224
1684,8,0.16981132075471694,0.5613729639765737
1684,4,0.3756345177664975,0.59943976497276
1684,5,0.3,0.6181490015360983
1684,6,0.3058823529411765,0.6409383761301269
1684,7,0.3103448275862069,0.606221940459455
1684,8,0.3090909090909091,0.5989369630302765
1684,4,0.385,0.5972122804783025
1684,5,0.3353658536585366,0.6091719939566496
1684,6,0.34810126582278483,0.6296255485177638
1684,7,0.32,0.5974353481123423
1684,8,0.15384615384615385,0.556188463896437
1684,4,0.40625,0.5996466006165129
1684,5,0.3714285714285713,0.6093752859606518
1684,6,0.3793103448275862,0.632484789054364
1684,7,0.288135593220339,0.5913717171920945
1684,8,0.234375,0.5645326470364241
1684,4,0.3828571428571429,0.5802741371043271
1684,5,0.3273809523809524,0.606310524209684
1684,6,0.3216374269005848,0.6332209331572659
1684,7,0.24,0.5778701528356701
1684,8,0.18,0.5581438436854463
1684,4,0.3526011560693641,0.5832903175700903
1684,5,0.3475609756097561,0.6019258681212225
1684,6,0.2786885245901639,0.5637447131620547
1684,7,0.35897435897435903,0.6413312891893064
1684,8,0.3018867924528302,0.5636238958316446
1684,4,0.400990099009901,0.5989054764851485
1684,5,0.33714285714285713,0.6158627321772274
1684,6,0.32558139534883723,0.5816377732253576
1684,7,0.3352272727272727,0.60069540257608
1684,8,0.19230769230769232,0.5609046954462122
1684,4,0.3842364532019704,0.6041550837351429
1684,5,0.30952380952380953,0.6117482516602146
1684,6,0.3170731707317073,0.6213441730671366
1684,7,0.3128834355828221,0.5917963137570853
1684,8,0.2272727272727273,0.5484930973009732
1684,4,0.4010416666666667,0.5883630551526454
1684,5,0.3271604938271605,0.6029952358437404
1684,6,0.3229813664596273,0.5692083760818326
1684,7,0.3207547169811321,0.5972681664576792
1684,8,0.3178807947019868,0.6051979672702211
1684,4,0.3980099502487561,0.5955857188963384
1684,5,0.3414634146341464,0.6044743366906971
1684,6,0.3333333333333333,0.5676128685809287
1684,7,0.2857142857142857,0.584617028979813
1684,8,0.1590909090909091,0.5519387479825129
1684,4,0.3681592039800995,0.6050369724049168
1684,5,0.3176470588235294,0.6222922464896143
1684,6,0.3413173652694611,0.635653400018192
1684,7,0.2903225806451613,0.600920329986937
1684,8,0.2564102564102564,0.5582179166050134
1684,4,0.4,0.5942419155162064
1684,5,0.3313253012048193,0.6020601725082146
1684,6,0.3395061728395062,0.624461595985401
1684,7,0.3333333333333333,0.5962426274857769
1684,8,0.17777777777777778,0.5496201585214479
1684,4,0.4108527131782946,0.6146594636102346
1684,5,0.3291139240506329,0.6071153096448715
1684,6,0.3205128205128205,0.6235513998671893
1684,7,0.3032258064516129,0.5773581232324866
1684,8,0.2295081967213115,0.5496924595649636
1684,4,0.3880597014925373,0.5978622665647657
1684,5,0.34567901234567894,0.5964131399572291
1684,6,0.3433734939759036,0.6337406433071313
1684,7,0.3333333333333333,0.5994625875298144
1684,8,0.2,0.5598850463687715
1684,4,0.39896373056994816,0.5927049145543866
1684,5,0.34615384615384615,0.602652582357787
1684,6,0.34838709677419355,0.6109344556063233
1684,7,0.1875,0.5282785527976387
1684,8,0.3,0.5838356938346339
