dataset,auc,ap,dp,true,false,fnr,tnr
UNC28,0.871882877547848,0.872496441395316,0.027678735230018,0.008658299229231,0.003411319788175,0.113871181401823,0.019003346019259
UNC28,0.872359191120152,0.870491141996811,0.025033492109156,0.010266621518822,0.003685674935626,0.134855373044997,0.025195038544946
UNC28,0.871534160539216,0.871300261362402,0.036412821541894,0.012367937851862,0.013872558648278,0.126456733384208,0.022416326444739
UNC28,0.870643155201725,0.870894584310427,0.013639934022019,0.007821863575641,0.003031277406956,0.12476851711763,0.025202735651975
UNC28,0.868664147165453,0.867928674018987,0.026403661996283,0.012132333834689,0.001296280156934,0.117851742169002,0.013105596966505
UNC28,0.872683855443219,0.876806557453535,0.029812307309048,0.013216566959005,0.013888477859257,0.126333826341041,0.021759225162965
UNC28,0.872738167580528,0.870552575392483,0.023931328286949,0.015347418202108,0.003106984959078,0.11845816054736,0.020110889061623
UNC28,0.86930115614337,0.864035287450768,0.028615050152389,0.02229431000095,0.004346521968655,0.151367607830363,0.017205164055493
UNC28,0.86980948912002,0.871178040393873,0.027050329070022,0.015058221725029,0.00363643885525,0.123711645550874,0.014478643746937
UNC28,0.875287787449539,0.872014834977963,0.018498182876295,0.000396220220876,0.001619103200178,0.129682953404466,0.01698202331907
UNC28,0.872441357440648,0.873322951632661,0.034986058817925,0.016258429283036,0.021199966617488,0.130054159086172,0.030880848397986
UNC28,0.866904417490418,0.864367218869041,0.023515974111246,0.012102229396348,0.003269074450729,0.141669190466095,0.011072920856048
UNC28,0.867437378070484,0.865895080957564,0.019577873376043,0.011635517544564,0.010710843511138,0.122030799374975,0.016459483654672
UNC28,0.876902673025399,0.878173627037885,0.02509834688485,0.007140113385171,0.002749997736981,0.106177540649972,0.012323985307187
UNC28,0.874091207408208,0.869702397140451,0.026835828269398,0.007492045987681,0.003256003407375,0.142956486170586,0.023959252935436
UNC28,0.873126553920818,0.872315476685694,0.031620290830663,0.009466939035213,0.012169624757474,0.13096500792927,0.020959159435848
UNC28,0.871981927680309,0.870492732721601,0.038889844245215,0.021269250013481,0.012333398224776,0.135690789473684,0.024339863194005
UNC28,0.876739912608732,0.875348764884816,0.036600031716978,0.009658563051598,0.024186116936387,0.11075696696376,0.031628008292522
UNC28,0.867172153213307,0.866969686684719,0.023273435077963,0.012358436733415,0.00312037426615,0.122339241652965,0.018241752356721
UNC28,0.874530010524047,0.870295295001909,0.040716326857406,0.008402210583086,0.035758603377306,0.131268018640795,0.054931635120775
